ba,neighbor,source,weight
AEC,SOCO,distance,235.5276169134483
AECI,MISO,interchange,384.0
AECI,SWPP,interchange,359.0
AECI,TVA,interchange,157.0
AVA,BPAT,interchange,428.0
AVA,PACW,interchange,98.0
AVA,IPCO,interchange,83.0
AVA,GCPD,interchange,68.5
AVA,NWMT,interchange,68.0
AZPS,SRP,interchange,3581.0
AZPS,CISO,interchange,894.0
AZPS,WALC,interchange,727.0
AZPS,LDWP,interchange,428.0
AZPS,PNM,interchange,228.0
AZPS,PACE,interchange,108.0
AZPS,TEPC,interchange,101.0
AZPS,WACM,interchange,91.0
BANC,BPAT,interchange,440.0
BANC,CISO,interchange,370.5
BPAT,PSEI,interchange,1912.0
BPAT,PGE,interchange,1672.0
BPAT,PACW,interchange,1041.0
BPAT,SCL,interchange,871.0
BPAT,NWMT,interchange,801.0
BPAT,CISO,interchange,606.0
BPAT,AVA,interchange,605.0
BPAT,LDWP,interchange,563.0
BPAT,BANC,interchange,440.0
BPAT,TPWR,interchange,374.0
BPAT,GCPD,interchange,258.0
BPAT,IPCO,interchange,62.0
BPAT,NEVP,interchange,41.0
CISO,SRP,interchange,1191.0
CISO,NEVP,interchange,1078.5
CISO,AZPS,interchange,780.0
CISO,LDWP,interchange,608.0
CISO,BPAT,interchange,603.5
CISO,BANC,interchange,372.0
CISO,WALC,interchange,213.0
CPLE,DUK,interchange,522.0
CPLE,PJM,interchange,517.0
CPLE,SC,interchange,161.0
CPLE,SCEG,interchange,120.0
CPLW,DUK,interchange,98.0
CPLW,PJM,interchange,42.0
CPLW,TVA,interchange,16.0
DUK,CPLE,interchange,522.0
DUK,PJM,interchange,473.0
DUK,SC,interchange,470.0
DUK,SOCO,interchange,428.0
DUK,SCEG,interchange,151.0
DUK,CPLW,interchange,98.0
DUK,TVA,interchange,60.0
EPE,PNM,interchange,338.0
EPE,TEPC,interchange,143.0
ERCO,SWPP,distance,282.0461116389876
FMPP,FPC,interchange,398.0
FMPP,FPL,interchange,390.0
FMPP,TEC,interchange,187.0
FMPP,JEA,interchange,15.0
FPC,FPL,interchange,826.0
FPC,TEC,interchange,419.0
FPC,FMPP,interchange,392.0
FPC,SOCO,interchange,37.0
FPL,FPC,interchange,823.0
FPL,JEA,interchange,443.0
FPL,FMPP,interchange,390.0
FPL,SOCO,interchange,375.0
FPL,TEC,interchange,269.0
GCPD,BPAT,interchange,258.0
GCPD,PACW,interchange,93.0
GCPD,AVA,interchange,68.0
GCPD,PSEI,interchange,42.0
IPCO,PACE,interchange,738.0
IPCO,PACW,interchange,334.0
IPCO,NEVP,interchange,88.0
IPCO,AVA,interchange,83.0
IPCO,BPAT,interchange,61.0
IPCO,NWMT,interchange,13.0
ISNE,NYIS,distance,298.7456116207483
JEA,FPL,interchange,442.0
JEA,FMPP,interchange,15.0
LDWP,NEVP,interchange,1078.0
LDWP,WALC,interchange,943.0
LDWP,CISO,interchange,617.0
LDWP,BPAT,interchange,496.0
LDWP,AZPS,interchange,441.0
LDWP,PACE,interchange,152.0
LGEE,MISO,interchange,297.5
LGEE,TVA,interchange,287.0
LGEE,PJM,interchange,191.0
MISO,PJM,interchange,3058.0
MISO,TVA,interchange,2046.0
MISO,SOCO,interchange,612.0
MISO,SWPP,interchange,399.0
MISO,AECI,interchange,384.0
MISO,LGEE,interchange,298.0
NEVP,LDWP,interchange,1091.0
NEVP,CISO,interchange,1079.0
NEVP,WALC,interchange,280.0
NEVP,PACE,interchange,103.0
NEVP,IPCO,interchange,88.0
NEVP,BPAT,interchange,41.0
NWMT,BPAT,interchange,801.0
NWMT,PACE,interchange,133.0
NWMT,AVA,interchange,68.0
NWMT,IPCO,interchange,13.0
NYIS,PJM,interchange,2304.0
NYIS,ISNE,interchange,693.0
PACE,IPCO,interchange,738.0
PACE,WACM,interchange,560.0
PACE,LDWP,interchange,147.0
PACE,NWMT,interchange,133.0
PACE,AZPS,interchange,108.0
PACE,NEVP,interchange,103.0
PACW,BPAT,interchange,1041.0
PACW,IPCO,interchange,334.0
PACW,AVA,interchange,98.0
PACW,GCPD,interchange,93.0
PACW,PGE,interchange,21.0
PGE,BPAT,interchange,1705.0
PGE,PACW,interchange,21.0
PJM,MISO,interchange,4274.0
PJM,NYIS,interchange,1934.0
PJM,TVA,interchange,788.0
PJM,DUK,interchange,772.0
PJM,CPLE,interchange,522.0
PJM,LGEE,interchange,252.0
PJM,CPLW,interchange,25.0
PNM,EPE,interchange,338.0
PNM,AZPS,interchange,228.0
PNM,WACM,interchange,142.0
PNM,TEPC,interchange,122.0
PNM,PSCO,interchange,114.0
PSCO,WACM,interchange,355.0
PSCO,SWPP,interchange,122.0
PSCO,PNM,interchange,114.0
PSEI,BPAT,interchange,1907.0
PSEI,GCPD,interchange,42.0
PSEI,SCL,interchange,32.0
PSEI,TPWR,interchange,30.0
SC,SCEG,interchange,901.0
SC,SOCO,interchange,527.0
SC,DUK,interchange,470.0
SC,CPLE,interchange,161.0
SCEG,SOCO,interchange,1025.0
SCEG,SC,interchange,901.0
