ba,neighbor,source,weight
AEC,SOCO,distance,235.5276169134483
AVA,GCPD,distance,142.6855141219103
AVA,PSEI,distance,359.7866069786856
AVA,SCL,distance,359.7866069786856
AVA,TPWR,distance,359.7866069786856
AZPS,SRP,distance,0.0
AZPS,WALC,distance,0.0
AZPS,TEPC,distance,174.25680396850407
BPAT,PACW,distance,0.0
BPAT,PGE,distance,0.0
BPAT,PSEI,distance,206.83420830998867
BPAT,SCL,distance,206.83420830998867
BPAT,TPWR,distance,206.83420830998867
CISO,LDWP,distance,0.0
CISO,NEVP,distance,377.49166307705866
CPLE,DUK,distance,210.08504081567818
CPLE,SCEG,distance,303.92073562061125
CPLE,CPLW,distance,343.1374845474798
CPLE,SC,distance,352.2739380147523
CPLW,DUK,distance,145.56508060339453
CPLW,SCEG,distance,210.4860078580667
CPLW,SOCO,distance,265.63714936153696
CPLW,CPLE,distance,343.1374845474798
CPLW,SC,distance,363.4363943416688
DUK,SCEG,distance,143.22969730753215
DUK,CPLW,distance,145.56508060339453
DUK,CPLE,distance,210.08504081567818
DUK,SC,distance,271.7545254350993
DUK,SOCO,distance,365.6463897530073
EPE,PNM,distance,359.83768471230695
ERCO,SWPP,distance,282.0461116389876
FMPP,FPC,distance,0.0
FMPP,TEC,distance,129.4680589049099
FMPP,JEA,distance,233.7131164135157
FMPP,FPL,distance,308.9581206219021
FPC,FMPP,distance,0.0
FPC,TEC,distance,129.4680589049099
FPC,JEA,distance,233.7131164135157
FPC,FPL,distance,308.9581206219021
FPL,FMPP,distance,308.9581206219021
FPL,FPC,distance,308.9581206219021
FPL,TEC,distance,327.2526177219147
GCPD,AVA,distance,142.6855141219103
GCPD,PSEI,distance,227.7823893246937
GCPD,SCL,distance,227.7823893246937
GCPD,TPWR,distance,227.7823893246937
GCPD,BPAT,distance,308.7429224766282
ISNE,NYIS,distance,298.7456116207483
JEA,FMPP,distance,233.7131164135157
JEA,FPC,distance,233.7131164135157
JEA,TEC,distance,293.2661898661295
JEA,SC,distance,309.68573152665715
JEA,SCEG,distance,387.097643363038
LDWP,CISO,distance,0.0
LDWP,NEVP,distance,377.49166307705866
LGEE,MISO,distance,178.60154924265234
LGEE,TVA,distance,244.88422266293318
MISO,LGEE,distance,178.60154924265234
NEVP,CISO,distance,377.49166307705866
NEVP,LDWP,distance,377.49166307705866
NYIS,PJM,distance,150.5557967310742
NYIS,ISNE,distance,298.7456116207483
PACW,BPAT,distance,0.0
PACW,PGE,distance,0.0
PACW,PSEI,distance,206.83420830998867
PACW,SCL,distance,206.83420830998867
PACW,TPWR,distance,206.83420830998867
PGE,BPAT,distance,0.0
PGE,PACW,distance,0.0
PGE,PSEI,distance,206.83420830998867
PGE,SCL,distance,206.83420830998867
PGE,TPWR,distance,206.83420830998867
PJM,NYIS,distance,150.5557967310742
PNM,EPE,distance,359.83768471230695
PSCO,WACM,distance,0.0
PSEI,SCL,distance,0.0
PSEI,TPWR,distance,0.0
PSEI,BPAT,distance,206.83420830998867
PSEI,PACW,distance,206.83420830998867
PSEI,PGE,distance,206.83420830998867
SC,SCEG,distance,153.10397211684756
SC,DUK,distance,271.7545254350993
SC,JEA,distance,309.68573152665715
SC,CPLE,distance,352.2739380147523
SC,CPLW,distance,363.4363943416688
SCEG,DUK,distance,143.22969730753215
SCEG,SC,distance,153.10397211684756
SCEG,CPLW,distance,210.4860078580667
SCEG,CPLE,distance,303.92073562061125
SCEG,SOCO,distance,309.13070038131804
SCL,PSEI,distance,0.0
SCL,TPWR,distance,0.0
SCL,BPAT,distance,206.83420830998867
SCL,PACW,distance,206.83420830998867
SCL,PGE,distance,206.83420830998867
SOCO,CPLW,distance,265.63714936153696
SOCO,SCEG,distance,309.13070038131804
SOCO,TVA,distance,343.61825716838814
SOCO,DUK,distance,365.6463897530073
SRP,AZPS,distance,0.0
SRP,WALC,distance,0.0
SRP,TEPC,distance,174.25680396850407
SWPP,ERCO,distance,282.0461116389876
TEC,FMPP,distance,129.4680589049099
TEC,FPC,distance,129.4680589049099
TEC,JEA,distance,293.2661898661295
TEC,FPL,distance,327.2526177219147
TEPC,AZPS,distance,174.25680396850407
TEPC,SRP,distance,174.25680396850407
TEPC,WALC,distance,174.25680396850407
TPWR,PSEI,distance,0.0
TPWR,SCL,distance,0.0
TPWR,BPAT,distance,206.83420830998867
TPWR,PACW,distance,206.83420830998867
TPWR,PGE,distance,206.83420830998867
TVA,LGEE,distance,244.88422266293318
TVA,SOCO,distance,343.61825716838814
TVA,CPLW,distance,381.91075184706784
WACM,PSCO,distance,0.0
WALC,AZPS,distance,0.0
WALC,SRP,distance,0.0
WALC,TEPC,distance,174.25680396850407
