ba,hours,mean_mw,zero_hours,frozen_runs,frozen_hours,longest_frozen_run_h,hour_to_hour_jumps,unit_error_hours
PJM,96432,134548.90774508784,0,0,0,2,9,3
MISO,96432,74093.41010629463,0,1,3,4,0,0
ERCO,96432,46604.48683225162,0,0,0,2,0,0
SWPP,96432,31162.75341678375,0,82,2919,273,4,2
SOCO,96432,26931.054631328145,13,0,0,2,9,0
CISO,96432,25524.07774653754,0,1,2,3,5,3
TVA,96432,18473.861531067483,436,0,0,2,26,11
NYIS,96432,17570.37168756547,15,2,4,3,0,0
FPL,96432,15340.075885240582,58,0,0,2,39,13
ISNE,96432,13508.779211216775,0,2,4,3,0,0
DUK,96432,12061.564823943296,0,0,0,2,0,0
CPLE,96432,6997.922522616201,1,0,0,2,4,0
BPAT,96432,6508.514923592452,0,0,0,2,3,0
FPC,96432,6342.115037999917,22,0,0,2,0,0
PACE,96432,5728.564501167514,26,1,2,3,116,56
PSCO,96432,5185.177908762608,15,0,0,2,42,146
NEVP,96432,4398.220204584951,26,1,2,3,19,11
LGEE,96432,4148.059990645949,3,1,2,3,4,1
AZPS,96432,3771.030213393117,19,0,0,2,38,3
SRP,96432,3678.2448162012115,3,0,0,2,83,20
WACM,94248,3102.4016084873374,72,5,10,3,145,35
PSEI,96432,3079.5547227827424,0,1,2,3,4,1
LDWP,96432,2991.373895536245,7,8,173,147,28,169
SWPW,2184,2868.871710526316,0,3,1221,1042,0,0
SC,96432,2857.732683471465,1,4,8,3,4,0
SCEG,96432,2791.40638450876,0,5,10,3,7,3
AECI,96432,2547.3167731496846,0,2,4,3,0,0
PACW,96432,2542.0194510971583,41,5,11,4,81,64
TEC,96432,2501.502864615768,3,1,2,3,0,0
PGE,96432,2465.5222787767534,0,6,12,3,10,1
BANC,96432,2246.746129449568,235,5,211,204,188,77
FMPP,96432,2132.9739177704137,24,0,0,2,56,29
IPCO,96432,2032.3904912145963,0,5,10,3,6,0
PNM,96432,1626.2365019090305,48,7,14,3,3,0
TEPC,96432,1591.6280731756235,1,4,53,48,22,5
JEA,96432,1519.118468351133,0,8,16,3,4,0
AVA,96432,1441.394244289598,3,11,22,3,20,18
NWMT,96432,1341.863275204869,77,23,46,3,38,23
SEC,96432,1261.1543991862777,9263,89,179,4,1795,1605
WALC,96432,1106.5532396589504,45,14,30,5,196,96
SCL,96432,1088.860895658765,35,26,52,3,62,28
EPE,96432,1000.934172434188,24,13,28,4,12,1
BHBA,2184,864.676724137931,0,0,0,2,0,0
GCPD,96432,653.4661827232189,0,294,616,5,0,0
CPLW,96432,565.6160615947299,0,27,54,3,0,15
TPWR,96432,547.4059026049445,0,81,163,4,6,3
AEC,54096,526.6156320300445,0,16,33,4,5,0
IID,96432,428.2477977264147,500,52,108,4,20,51
TAL,96432,319.501629889669,0,82,172,4,4,9
TIDC,96432,319.3285304397725,350,152,314,5,2,0
GVL,96432,236.4033408772497,1,97,211,11,15,2
CHPD,96432,223.65665240508432,2,217,449,5,8,1
DOPD,96432,223.33996943758748,1,353,732,4,4,1
WAUW,94248,93.89786084701815,2,794,1700,5,20,0
HST,96432,68.41586682191522,1,1104,2454,11,16,28
OVEC,29977,65.93283164910771,14,193,680,96,37,2
SPA,96432,57.33071381794368,63,211,433,4,2521,67
NSB,39649,49.82096272444468,23,574,1266,7,60,31
WWA,89880,0.0,0,0,0,1,0,0
WAUE,2208,0.0,0,0,0,1,0,0
AVRN,69408,0.0,0,0,0,1,0,0
DEAA,96432,0.0,0,0,0,1,0,0
GRID,96432,0.0,0,0,0,1,0,0
EEI,40897,0.0,0,0,0,1,0,0
GLHB,21959,0.0,0,0,0,1,0,0
GRIF,73080,0.0,0,0,0,1,0,0
GRMA,24888,0.0,0,0,0,1,0,0
SIKE,9480,0.0,0,0,0,1,0,0
SEPA,96432,0.0,0,0,0,1,0,0
GWA,96432,0.0,0,0,0,1,0,0
HGMA,86952,0.0,0,0,0,1,0,0
YAD,96432,0.0,0,0,0,1,0,0
