event,ba,detector,peak_time,window_hours,flagged,flagged_share,peak_flagged,injected_in_window,recall_in_window,precision_adj_in_window
uri,AEC,sentinel_v3,2021-02-17T06:00:00,73,0,0.0,False,19,1.0,1.0
uri,AEC,sentinel_v3_distance_neighbors,2021-02-17T06:00:00,73,0,0.0,False,19,1.0,1.0
uri,AEC,sentinel_v3_profile_neighbors,2021-02-17T06:00:00,73,0,0.0,False,19,1.0,1.0
uri,AEC,sentinel_v3_profile_weather,2021-02-17T06:00:00,73,0,0.0,False,19,1.0,1.0
uri,AEC,sentinel_v3_regime_only,2021-02-17T06:00:00,73,0,0.0,False,19,1.0,1.0
uri,AEC,sentinel_v2,2021-02-17T06:00:00,73,0,0.0,False,19,1.0,1.0
uri,AEC,modified_zscore,2021-02-17T06:00:00,73,0,0.0,False,19,1.0,1.0
uri,AEC,relative_deviation,2021-02-17T06:00:00,73,0,0.0,False,19,0.3157894736842105,0.75
uri,AEC,teda_level,2021-02-17T06:00:00,73,0,0.0,False,19,1.0,1.0
uri,AEC,autoencoder,2021-02-17T06:00:00,73,5,0.0684931506849315,True,19,1.0,0.875
uri,AECI,sentinel_v3,2021-02-15T18:00:00,73,0,0.0,False,2,1.0,1.0
uri,AECI,sentinel_v3_distance_neighbors,2021-02-15T18:00:00,73,0,0.0,False,2,1.0,1.0
uri,AECI,sentinel_v3_profile_neighbors,2021-02-15T18:00:00,73,0,0.0,False,2,1.0,1.0
uri,AECI,sentinel_v3_profile_weather,2021-02-15T18:00:00,73,0,0.0,False,2,1.0,1.0
uri,AECI,sentinel_v3_regime_only,2021-02-15T18:00:00,73,0,0.0,False,2,1.0,1.0
uri,AECI,sentinel_v2,2021-02-15T18:00:00,73,0,0.0,False,2,1.0,1.0
uri,AECI,modified_zscore,2021-02-15T18:00:00,73,51,0.6986301369863014,True,2,1.0,0.03773584905660377
uri,AECI,relative_deviation,2021-02-15T18:00:00,73,0,0.0,False,2,1.0,0.6666666666666666
uri,AECI,teda_level,2021-02-15T18:00:00,73,0,0.0,False,2,1.0,1.0
uri,AECI,autoencoder,2021-02-15T18:00:00,73,47,0.6438356164383562,True,2,1.0,0.5714285714285714
uri,AVA,sentinel_v3,2021-02-18T07:00:00,73,0,0.0,False,10,1.0,1.0
uri,AVA,sentinel_v3_distance_neighbors,2021-02-18T07:00:00,73,0,0.0,False,10,1.0,1.0
uri,AVA,sentinel_v3_profile_neighbors,2021-02-18T07:00:00,73,0,0.0,False,10,1.0,1.0
uri,AVA,sentinel_v3_profile_weather,2021-02-18T07:00:00,73,0,0.0,False,10,1.0,1.0
uri,AVA,sentinel_v3_regime_only,2021-02-18T07:00:00,73,0,0.0,False,10,1.0,1.0
uri,AVA,sentinel_v2,2021-02-18T07:00:00,73,0,0.0,False,10,1.0,1.0
uri,AVA,modified_zscore,2021-02-18T07:00:00,73,0,0.0,False,10,0.0,0.0
uri,AVA,relative_deviation,2021-02-18T07:00:00,73,0,0.0,False,10,0.0,0.0
uri,AVA,teda_level,2021-02-18T07:00:00,73,0,0.0,False,10,0.0,0.0
uri,AVA,autoencoder,2021-02-18T07:00:00,73,0,0.0,False,10,0.0,0.0
uri,AZPS,sentinel_v3,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,AZPS,sentinel_v3_distance_neighbors,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,AZPS,sentinel_v3_profile_neighbors,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,AZPS,sentinel_v3_profile_weather,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,AZPS,sentinel_v3_regime_only,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,AZPS,sentinel_v2,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,AZPS,modified_zscore,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,AZPS,relative_deviation,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,AZPS,teda_level,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,AZPS,autoencoder,2021-02-18T07:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,sentinel_v3,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,sentinel_v3_distance_neighbors,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,sentinel_v3_profile_neighbors,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,sentinel_v3_profile_weather,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,sentinel_v3_regime_only,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,sentinel_v2,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,modified_zscore,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,relative_deviation,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,teda_level,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BANC,autoencoder,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,BPAT,sentinel_v3,2021-02-13T08:00:00,73,0,0.0,False,44,1.0,1.0
uri,BPAT,sentinel_v3_distance_neighbors,2021-02-13T08:00:00,73,0,0.0,False,44,1.0,1.0
uri,BPAT,sentinel_v3_profile_neighbors,2021-02-13T08:00:00,73,0,0.0,False,44,1.0,1.0
uri,BPAT,sentinel_v3_profile_weather,2021-02-13T08:00:00,73,0,0.0,False,44,1.0,1.0
uri,BPAT,sentinel_v3_regime_only,2021-02-13T08:00:00,73,0,0.0,False,44,1.0,1.0
uri,BPAT,sentinel_v2,2021-02-13T08:00:00,73,0,0.0,False,44,1.0,1.0
uri,BPAT,modified_zscore,2021-02-13T08:00:00,73,0,0.0,False,44,1.0,1.0
uri,BPAT,relative_deviation,2021-02-13T08:00:00,73,0,0.0,False,44,0.13636363636363635,0.75
uri,BPAT,teda_level,2021-02-13T08:00:00,73,0,0.0,False,44,1.0,1.0
uri,BPAT,autoencoder,2021-02-13T08:00:00,73,0,0.0,False,44,1.0,0.9387755102040817
uri,CISO,sentinel_v3,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,CISO,sentinel_v3_distance_neighbors,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,CISO,sentinel_v3_profile_neighbors,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,CISO,sentinel_v3_profile_weather,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,CISO,sentinel_v3_regime_only,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,CISO,sentinel_v2,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,CISO,modified_zscore,2021-02-17T18:00:00,73,0,0.0,False,1,0.0,0.0
uri,CISO,relative_deviation,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,CISO,teda_level,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,CISO,autoencoder,2021-02-17T18:00:00,73,0,0.0,False,1,1.0,1.0
uri,CPLE,sentinel_v3,2021-02-18T11:00:00,73,0,0.0,False,1,1.0,1.0
