detector,precision,recall,f1,mcc,seconds,recall_spike,recall_dip,recall_zero,recall_stuck,recall_scale,series
autoencoder_w4_f30,0.8944964558706195,0.9187881697657923,0.9062136969224356,0.9057838750931566,0.2775699750036438,1.0,1.0,1.0,0.05,1.0,4
teda_level_m4.0,0.9939024390243902,0.8297872340425532,0.9041400660285985,0.9075491453432973,0.02942925000024843,0.625,0.4375,1.0,0.0,1.0,4
teda_level_m5.0,1.0,0.8138297872340425,0.8971000280190529,0.9015406864376405,0.029649800000697724,0.625,0.25,1.0,0.0,1.0,4
autoencoder_w4_f20,0.8598096417673806,0.9263123159533336,0.8913894864189174,0.8914325859211609,0.2765728999984276,1.0,1.0,1.0,0.1,1.0,4
teda_level_m6.0,1.0,0.7806429232192414,0.8766843595983687,0.8829565943860245,0.029601324999021017,0.25,0.0625,1.0,0.0,1.0,4
autoencoder_w4_f12,0.8021837392926956,0.9340144230769231,0.8626342117029664,0.8643010517260776,0.27690892499776965,1.0,1.0,1.0,0.15000000000000002,1.0,4
autoencoder_w4_f8,0.7431663982264346,0.9381610576923077,0.8293172400315258,0.8336362002453775,0.27725707499848795,1.0,1.0,1.0,0.19999999999999998,1.0,4
teda_level_m3.0,0.7960928731187377,0.8404255319148937,0.8172848577904511,0.8167586118289712,0.029606425001475145,0.75,0.5,1.0,0.0,1.0,4
autoencoder_w8_f20,0.731499688692065,0.9116442941957303,0.8112290905380499,0.815073214595441,0.28692755000156467,1.0,1.0,1.0,0.0,1.0,4
autoencoder_w24_f20,0.5315723063418916,0.9208957565299238,0.6738810972075935,0.6971888368617781,0.3365476500021032,1.0,1.0,1.0,0.1,1.0,4
teda_level_m2.5,0.5214537534603485,0.8457446808510638,0.6390415657078171,0.6584931010495683,0.029817350001394516,0.875,0.5,1.0,0.0,1.0,4
teda_diff_m3.0,0.846875,0.34934041184041187,0.49300878697601636,0.541655720188263,0.029806599997755256,1.0,0.875,1.0,0.0,0.3712121212121212,4
autoencoder_w4_f5,0.3230052497650647,0.9423076923076923,0.4754712894150823,0.5427526336846604,0.27658982499997364,1.0,1.0,1.0,0.25,1.0,4
teda_diff_m2.5,0.6164701526543632,0.33194686411149826,0.42982564097917697,0.44956052759323323,0.029793125000651344,1.0,0.9375,1.0,0.05,0.32575757575757575,4
teda_diff_m4.0,0.9807692307692308,0.24938750862663905,0.3965909090909091,0.49257240503875266,0.029934774998764624,1.0,0.75,1.0,0.0,0.17424242424242425,4
teda_diff_m5.0,1.0,0.21739130434782608,0.3571428571428571,0.4652911941544583,0.029940124997665407,1.0,0.75,1.0,0.0,0.09090909090909091,4
teda_diff_m6.0,1.0,0.20108695652173914,0.3347402597402597,0.4473643269500106,0.02986232499824837,1.0,0.5625,1.0,0.0,0.09090909090909091,4
autoencoder_w4_f3,0.07824609554527534,0.9461538461538462,0.14433334879100834,0.2583058787108907,0.2776527250007348,1.0,1.0,1.0,0.30000000000000004,1.0,4
